site	mechanism	target-does	tag-text
src/st2/r225.cpp:562	loop-insn-count	loop.c move_movables hoists (or not) an invariant depending on the loop's real insn count / register weight	candidate (sched1 loop-note barrier). The target issues `spd += accel`
src/st2/r225.cpp:567	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (reverse). The target's pPL load of the second SetPosXYZ
src/st2/r225.cpp:588	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (fallthrough-arm form). Our cse carries the
src/t_camera/t_camera_data.cpp:513	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (global-alloc order, dead test)
src/st1/r11b.cpp:86	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (single use: update_equiv_regs moves the li next to the store)
src/st1/r11b.cpp:95	sched-tie	haifa sched1/sched2 tie-break: two independent insns in the other order, region split, slot filler	candidate (sched1 issue-slot filler): the codeless asm depends on the flags
src/Tools/t_motseq.cpp:729	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (free sched slot filler): the original's sched1 has one insn between
src/Tools/t_esp_area.cpp:260	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	#17 (global.c refs, the r18/r17 pair)
src/st2/r20d.cpp:847	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (regmove operand pick): `pl` must not die at the
src/st2/r20d.cpp:946	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3 (frame-address PRE): the r31 clobber kills gcse's transparency for
src/st2/r20d.cpp:1125	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (user variable constant not folded)
src/st2/r20d.cpp:1127	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	#2 (value-carrying FPR pin): the 0.0 pseudo is f30 and its `turn` copy f31 in the
src/st2/r20d.cpp:1133	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12
src/st2/r20d.cpp:1134	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (companion of the `st` launder): the launder gives `li r29,0` one priority level
src/st2/r224.cpp:180	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13 (the stack-argument zero reuses `v`: a two-set pseudo has no REG_EQUIV,
src/st2/r224.cpp:354	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12: the target loads `spd = 0.0f` before SndCall and RE-LOADS the same pool 0.0
src/st2/r224.cpp:420	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (dead test, see above)
src/st2/r224.cpp:539	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13 -- the target issues `li r3,5; li r4,0` after the store; ours issues
src/st1/r118.cpp:273	loop-insn-count	loop.c move_movables hoists (or not) an invariant depending on the loop's real insn count / register weight	dead test; its 0x88888889 constant is loop.c's FIRST movable, so the
src/st1/r118.cpp:278	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (fallthrough-arm form): a plain zero here is folded by cse1 into
src/Tools/t_flr_at.cpp:921	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	2 (the original masks the first footer colour once after its arms, `clrlwi r5,r5,24`)
src/tools/db_mod.cpp:1279	loop-insn-count	loop.c move_movables hoists (or not) an invariant depending on the loop's real insn count / register weight	candidate (loop.c insn_count): two dead sets, deleted by flow, keep
src/tools/db_mod.cpp:2217	register-pin	register pin (which hard register a value takes)	the target passes the switch-head `color` register (`li r5,0` before the
src/tools/db_mod.cpp:2574	other		two codeless insns make the loop 66 real insns at loop pass 1, so the folded
src/tools/db_mod.cpp:2692	other		the p-info zero colour (see the j-loop below)
src/tools/db_mod.cpp:2795	gcse-table/numbering	gcse PRE pseudo numbering (hash bucket order) or expression-table size decides a callee-saved register tie	the colour of both calls is ONE zero-valued pseudo that gcse PREs into the j-loop
src/st2/r20c.cpp:448	sched1-tie/hoist	intrablock order or a copy hoisted over a test (stock haifa; source-form lever)	#5 — the original's `li r8,0` of the two `hp = 0` stores is one constant
src/st2/r223.cpp:57	prologue-copy-death	fmr/mr parameter copy ranked as if the incoming reg did not die (regmove REG_DEAD)	#8 -- the original's prologue copies `fmr f28,f1; fmr f29,f2` before `mr r29,r5` (mode);
src/st2/r223.cpp:214	prologue-copy-death	fmr/mr parameter copy ranked as if the incoming reg did not die (regmove REG_DEAD)	#8 -- the original copies f1/f2 to f28/f29 before `mode` to r29: FP parameters
src/em36/em36.cpp:4222	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	#2
src/Sscrn/ss_term.cpp:17	prologue-copy-death	fmr/mr parameter copy ranked as if the incoming reg did not die (regmove REG_DEAD)	candidate #8 (end-of-file order: the round of Widget<SUB_SCREEN>::~Widget). The
src/Sscrn/ss_term.cpp:34	prologue-copy-death	fmr/mr parameter copy ranked as if the incoming reg did not die (regmove REG_DEAD)	candidate #8
src/Sscrn/ss_term.cpp:770	prologue-copy-death	fmr/mr parameter copy ranked as if the incoming reg did not die (regmove REG_DEAD)	candidate #8
src/st1/r103.cpp:141	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (local-alloc qty order of the two pool highs). The
src/st1/r103.cpp:267	loop-exit-form	peeled FP loop exit test (source form)	#7/#9).
src/st1/r113.cpp:153	loop-entry-rotation	rotated loop entry (source form)	candidate #9
src/st2/r222.cpp:246	other		note in r222_BoxMove).
src/st2/r222.cpp:261	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	#3 (the original's gcse shares one `high` of the 2.12 constant between the two arms
src/st2/r20e.cpp:238	sched1-tie/hoist	intrablock order or a copy hoisted over a test (stock haifa; source-form lever)	#5 (codeless sched1 slot): local-alloc marks a qty's FAKE lifetime
src/st2/r20e.cpp:1097	loop-insn-count	loop.c move_movables hoists (or not) an invariant depending on the loop's real insn count / register weight	candidate (loop.c pass-2 insn_count). Two dead sets of `key` (flow deletes
src/Sscrn/ss_shop.cpp:1116	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17. The target allocates `val` (17 refs / 270 insns) above `this`
src/Sscrn/ss_shop.cpp:1131	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13. `zero` is set once at the top of the k loop and stored once after it
src/Sscrn/ss_shop.cpp:1151	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (see above)
src/Sscrn/ss_shop.cpp:1239	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (see above)
src/Sscrn/ss_shop.cpp:2053	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13. `cur` is the digit block's `val[]` index: a single constant set whose
src/Sscrn/ss_shop.cpp:2069	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3
src/Sscrn/ss_shop.cpp:2208	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3
src/Sscrn/ss_shop.cpp:2552	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (combine). The target keeps `extsb` before `addi -1; clrlwi 24; slwi 12`; our
src/st1/r101.cpp:474	other		frame layout -- codeless use that keeps the 8-byte slot allocated
src/st2/r218.cpp:36	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (loop-exit form). After a `do { ..; if (c) break; SceSleep(1); } while (1)`
src/st2/r218.cpp:193	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (loop-exit form)
src/st2/r218.cpp:233	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (loop-exit form)
src/st2/r218.cpp:323	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (loop-exit form)
src/st2/r218.cpp:343	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (loop-exit form)
src/st2/r209.cpp:1277	sched-tie	haifa sched1/sched2 tie-break: two independent insns in the other order, region split, slot filler	candidate (sched1 order of the pool/work highs): the seId store through the
src/st2/r209.cpp:1362	sched-tie	haifa sched1/sched2 tie-break: two independent insns in the other order, region split, slot filler	candidate (sched1 order of the pool/work highs), see r209_SwitchAppearCheck
src/st1/r10f.cpp:113	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (value-carrying pin): the pG temp of the setSubMotion block is
src/st2/r221.cpp:1246	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	2 (pin): the original keeps both `clrlwi r8,r16,24` for `(u8) eff0`; our combine
src/st2/r221.cpp:1263	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (global-alloc priority tie eff2 vs the pG high). `evNo` is set
src/st2/r221.cpp:1276	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (see the declaration)
src/st2/r221.cpp:1348	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (always 0, see the declaration)
src/Sscrn/ss_item.cpp:822	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17
src/Sscrn/ss_item.cpp:1271	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12. The target keeps both arm `li`s in place and masks `& 0xFF`; with a plain
src/Sscrn/ss_item.cpp:1278	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12
src/Sscrn/ss_item.cpp:1281	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (dead set, see above)
src/Sscrn/ss_item.cpp:1284	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (dead set, see above)
src/Sscrn/ss_item.cpp:1322	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17
src/Sscrn/ss_item.cpp:1323	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17
src/st1/r100.cpp:381	argmove-order	FP arg moves interleaved with trailing int constants at a mixed int/float call (calls.c load_register_parameters)	the plain `vol` argument schedules differently across the three calls;
src/Sscrn/ss_pzzl.cpp:334	sched1-tie/hoist	intrablock order or a copy hoisted over a test (stock haifa; source-form lever)	5 (sched1 tie). Case 1 of the target issues the `col` copy before the
src/Sscrn/ss_pzzl.cpp:667	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13.
src/Sscrn/ss_pzzl.cpp:683	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13.
src/Sscrn/ss_pzzl.cpp:891	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	candidate #13 (gcse expression-table size). Six dead stores (flow1 deletes
src/Sscrn/ss_pzzl.cpp:983	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3).
src/Sscrn/ss_pzzl.cpp:1611	narrow-truncate	no int->u16/u8 truncation at a call or narrow return; masks a u8-returning call assigned to u16	4 (the u8 results assigned to u16 locals are masked with `clrlwi 16`)
src/Sscrn/ss_pzzl.cpp:1663	jump2-crossjump	shared tail duplicated or merged differently (RTL at jump2 entry)	6)
src/Sscrn/ss_pzzl.cpp:2025	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (cse2 qty order). Dead store (flow1 deletes it)
src/Sscrn/ss_pzzl.cpp:2054	global-alloc-order	callee-saved register names permuted: global.c priority / pass-0 regs_used_so_far	candidate (global-alloc priority, dead test). Extends `st`'s live
src/st1/r10c.cpp:661	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 -- the last EstSet's two stack-argument zeros come from one
src/st1/r10c.cpp:681	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (both 0, see `z`)
src/st1/r10c.cpp:923	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3 -- the original's `high(0.0)` for the `angX = 0.0f` loads below is a
src/st4/r404.cpp:671	loop-entry-rotation	rotated loop entry (source form)	9: the original enters the rotated loop through `b test` without duplicating the test.
src/st1/r106.cpp:293	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (local-alloc qty order of the two pool highs), the
src/st1/r106.cpp:418	loop-exit-form	peeled FP loop exit test (source form)	#7/#9 (not a diff).
src/em35/em35.cpp:3652	jump2-crossjump	shared tail duplicated or merged differently (RTL at jump2 entry)	#6 shape: ours cross-jumps them).
src/st1/r108.cpp:168	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3 -- the original forms the end pointer from the array pseudo (`addi r29,r31,40`),
src/st1/r108.cpp:361	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (loop-exit form). The dead loop's notes end cse1's AROUND path over the
src/st1/r105.cpp:829	loop-exit-form	peeled FP loop exit test (source form)	#7/#9).
src/Sscrn/ss_map.cpp:12	prologue-copy-death	fmr/mr parameter copy ranked as if the incoming reg did not die (regmove REG_DEAD)	candidate #8; ours queues it when atari.h's class is finished). Both
src/Sscrn/ss_map.cpp:1281	sched1-tie/hoist	intrablock order or a copy hoisted over a test (stock haifa; source-form lever)	5 (sched1 tie): the original issues the `&zero` argument copy before the
src/st4/r402.cpp:390	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3
src/t_sce/t_block.cpp:893	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (global-alloc order of n vs the rep2 load)
src/t_sce/t_block.cpp:1051	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3 (loop.c pass-1 insn_count, dead sets)
src/t_sce/t_sce_item.cpp:774	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/t_sce/t_sce_item.cpp:775	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/t_sce/t_sce_item.cpp:776	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/t_sce/t_sce_item.cpp:777	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path / PRE copy)
src/t_sce/t_sce_item.cpp:795	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (region split, dead test)
src/t_sce/t_sce_item.cpp:1702	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17
src/t_event/t_event.cpp:437	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	candidate #12 (fallthrough-arm form): the original stores a fresh `li r0,0`; a
src/t_event/t_event.cpp:1221	gcse-table/numbering	gcse PRE pseudo numbering (hash bucket order) or expression-table size decides a callee-saved register tie	candidate (gcse table size): the edit-window ctor anchor (dbg_tool.h) is one
src/t_event/t_event.cpp:1240	sched1-tie/hoist	intrablock order or a copy hoisted over a test (stock haifa; source-form lever)	candidate #5 (sched1 tie): the original issues `loadArg = t` before `pLoadFunc =
src/t_event/t_event.cpp:1271	other		frame-only T local (24 bytes) of the original
src/t_event/t_event.cpp:1632	gcse-table/numbering	gcse PRE pseudo numbering (hash bucket order) or expression-table size decides a callee-saved register tie	candidate (gcse PRE pseudo numbering): 13 dead pseudos before the inlined
src/t_movie/snd_test.cpp:1377	rodata-copies	duplicated .rodata entries	candidate #10 - the original build keeps separate .rodata copies of 1-char string
src/t_movie/t_snd_vol.cpp:128	sched1-tie/hoist	intrablock order or a copy hoisted over a test (stock haifa; source-form lever)	5 (interblock region size: the original does not hoist the giv increments of this loop)
src/t_movie/t_snd_vol.cpp:651	local-alloc-qty-order	block-local scratch registers (r0/r9/r11, f0/f13) permuted: local-alloc.c block_alloc qty order	register pin (local-alloc gives ne r10 / editMode r8; the target has r8 / r7)
src/t_movie/t_snd_vol.cpp:1031	local-alloc-qty-order	block-local scratch registers (r0/r9/r11, f0/f13) permuted: local-alloc.c block_alloc qty order	candidate (local-alloc qty order)
src/t_movie/t_snd_vol.cpp:1032	local-alloc-qty-order	block-local scratch registers (r0/r9/r11, f0/f13) permuted: local-alloc.c block_alloc qty order	candidate (local-alloc qty order)
src/t_movie/t_snd_vol.cpp:1046	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3 -- the original computes `base - 4` and `base + rows * 0x14 + 4` here from a copy of
src/t_movie/t_snd_vol.cpp:1051	local-alloc-qty-order	block-local scratch registers (r0/r9/r11, f0/f13) permuted: local-alloc.c block_alloc qty order	candidate (local-alloc qty order)
src/t_movie/t_snd_vol.cpp:1052	local-alloc-qty-order	block-local scratch registers (r0/r9/r11, f0/f13) permuted: local-alloc.c block_alloc qty order	candidate (local-alloc qty order)
src/t_movie/t_snd_vol.cpp:1172	global-alloc-order	callee-saved register names permuted: global.c priority / pass-0 regs_used_so_far	pin (global-alloc order: the target allocates work before p: work r11, p r10, Joy r10)
src/t_movie/t_snd_vol.cpp:1175	register-pin	register pin (which hard register a value takes)	pin
src/t_movie/t_snd_vol.cpp:1180	register-pin	register pin (which hard register a value takes)	pin
src/t_movie/t_snd_vol.cpp:1183	register-pin	register pin (which hard register a value takes)	pin
src/t_movie/t_snd_vol.cpp:1221	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	launder (cse/cprop fold y = 0x80 into the first row and y += 0x10; the target keeps the y chain)
src/t_movie/t_snd_vol.cpp:1268	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	launder (cse/cprop fold y = 0x80 into the first row and y += 0x10; the target keeps the y chain)
src/t_id/t_id.cpp:45	narrow-truncate	no int->u16/u8 truncation at a call or narrow return; masks a u8-returning call assigned to u16	#4: the original passes the (u32) converted height without the u16 truncation.
src/t_id/t_id.cpp:99	other		candidate (the target keeps a 1 in r30 from the prologue for the two lang = 1 arms)
src/t_id/t_id.cpp:227	sched-tie	haifa sched1/sched2 tie-break: two independent insns in the other order, region split, slot filler	dead test (haifa MAX_RGN_BLOCKS: the body has 9 blocks and forms an interblock
src/t_id/t_id.cpp:712	local-alloc-qty-order	block-local scratch registers (r0/r9/r11, f0/f13) permuted: local-alloc.c block_alloc qty order	candidate (local-alloc qty order: with exactly 3 block-local
src/t_id/t_id.cpp:755	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3 (loop.c insn_count, dead sets)
src/t_id/t_id.cpp:976	other		anchor
src/t_id/t_id.cpp:1002	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3 (loop.c pass-1 insn_count, dead sets)
src/t_id/t_id.cpp:1294	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	#17 (col r5 vs r30, local ext pref)
src/t_id/t_id.cpp:2012	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3 (loop.c pass-2 insn_count)
src/t_id/t_id.cpp:2014	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3 (loop.c pass-2 insn_count, dead sets)
src/t_id/t_id.cpp:2197	global-alloc-order	callee-saved register names permuted: global.c priority / pass-0 regs_used_so_far	pin (global-alloc order: the target allocates step (r11) before joy (r10))
src/t_id/t_id.cpp:2347	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3 (loop.c pass-1 insn_count, dead sets)
src/t_id/t_id.cpp:2410	sched-tie	haifa sched1/sched2 tie-break: two independent insns in the other order, region split, slot filler	candidate (sched tie: the target's `li r24,0xc` sits between cmpwi and bne,
src/t_id/t_id.cpp:2422	sched-tie	haifa sched1/sched2 tie-break: two independent insns in the other order, region split, slot filler	candidate (sched1 tie `li r3,0x128` vs `addi r7,fmt@l` at the CLIPBOARD eprintf
src/t_light/t_scroll.cpp:317	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (keep-alive: the `addi p` outranks the exit compare in the original)
src/t_light/t_scroll.cpp:519	gcse-frame-high-PRE	no hoisted &local / high(sym) pseudo (gcse PRE placement), fresh addi/lis per use	3 (gcse PRE of high(sym)) -- the original keeps ONE high(scrollWorkPtr) register (r10)
src/t_light/t_scroll.cpp:1795	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	#17 -- the tail column base pinned to r27 (x for 4/8 lives in r3 and never crosses a
src/t_light/t_scroll.cpp:1805	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 -- a volatile asm at the function top is a sched1 barrier: the PRE'd
src/t_light/t_scroll.cpp:1870	global-alloc-order	callee-saved register names permuted: global.c pass-0 regs_used_so_far / priority order / local-alloc fake lifetime	candidate #17 (global.c live length) -- the high of this load is the PRE'd
src/t_light/t_scroll.cpp:1882	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 / candidate #12 -- the two `li r27,0x11` are gcse PRE insertions at the arm ends
src/t_light/t_scroll.cpp:1904	argmove-order	FP arg moves interleaved with trailing int constants at a mixed int/float call (calls.c load_register_parameters)	candidate #1 (arg copy): the target issues `addi r3,x2,3` before `lwz r8,x54`;
src/em2f/em2f.cpp:314	argmove-order	FP arg moves interleaved with trailing int constants at a mixed int/float call (calls.c load_register_parameters)	#1
src/t_movie/t_se_at.cpp:177	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (memory anchor)
src/t_movie/t_se_at.cpp:179	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (memory anchor)
src/t_movie/t_se_at.cpp:871	narrow-extend	zero/sign-extends a narrow value (clrlwi/extsh) at a call, entry or join where ours treats it as promoted	2 (the original masks the u8 colour at the join; the draw_light_graph form)
src/em32/em32.cpp:120	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12 (cse path knowledge): in a `case` arm reached through the switch's once-used label
src/em32/em32.cpp:706	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/em32/em32.cpp:707	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/em32/em32.cpp:733	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/em32/em32.cpp:734	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/em32/em32.cpp:735	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13
src/em32/em32.cpp:749	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (codeless anchor)
src/em32/em32.cpp:2050	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12
src/em32/em32.cpp:2783	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12
src/em32/em32.cpp:3357	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	#12
src/em3c/em3c.cpp:1573	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	#13 (int shape): the EstSet stack zero of the then-arm is a function-scope
src/game/em_cloth.cpp:209	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13 (local-alloc qty order): a codeless prio-4 filler issued before the
src/game/emBar.cpp:406	other		tie (see above)
src/game/act_btn.cpp:112	local-alloc-qty-order	block-local scratch registers (r0/r9/r11, f0/f13) permuted: local-alloc.c block_alloc qty order	candidate (local-alloc order): `fontH / 2` is computed in the MesSet argument
src/game/act_btn.cpp:164	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13 (value pin): `key` is assigned in several leaves, so it is a global-alloc pseudo
src/game/act_btn.cpp:299	jump2-crossjump	shared tail duplicated or merged differently (RTL at jump2 entry)	6 (cross-jump): codeless real insn, see the header comment
src/game/merchant.cpp:1639	loop-insn-count	loop.c move_movables hoists (or not) an invariant depending on the loop's real insn count / register weight	candidate (loop.c pass-2 insn_count). The original's outer loop had
src/game/at_mod.cpp:759	cse-path	cse hash table not carried into a block along the AROUND/taken path; fresh lis/li where ours reuses a register	12 (cse AROUND path): the target's `&p0` argument is a fresh `addi r4,r1,8` (the
src/game/at_mod.cpp:781	reg-equiv-const	a single-set constant pseudo is rematerialised by reload (li/lis/lfs at the use, never allocated) instead of held in a callee-saved register; store issue order follows	13 (FPR naming): den is settled in f0 before the t numerator is formed. The
src/game/Espgen43.cpp:18	other		note there); everything else is plain C.
src/game/lightPath.cpp:71	loop-insn-count	loop.c move_movables hoists (or not) an invariant depending on the loop's real insn count / register weight	tie. The loop notes double this store's `this` ref weight (9 refs > pCur's
